model,correlation,pvalue,predictor,feature
Linear,0.35162630620676444,4.262613576439819e-08,Accessibility,semantic_score
SVR-RBF,0.4372950347646152,3.6839272959304565e-12,Accessibility,semantic_score
Linear,0.37099526616997297,6.97770354088646e-09,Accessibility,semantic_score
SVR-RBF,0.48441808734558406,7.074020066650387e-15,Accessibility,semantic_score
Linear,0.30048602492938636,3.661336557406889e-06,Accessibility,semantic_score
SVR-RBF,0.3775268542570396,3.599991346211317e-09,Accessibility,semantic_score
Linear,0.1878945436633441,0.004327353971494049,Accessibility,semantic_score
SVR-RBF,0.32791461865704274,3.851645188205402e-07,Accessibility,semantic_score
Linear,0.318466453513996,8.58209422102361e-07,Accessibility,semantic_score
SVR-RBF,0.5699589963034645,3.985122017066792e-21,Accessibility,semantic_score
Linear,0.29910431570281243,3.8825329699983945e-06,Accessibility,semantic_score
SVR-RBF,0.45911247577640607,2.1581706787756276e-13,Accessibility,semantic_score
Linear,0.23683529254621888,0.00029926491106081076,Accessibility,semantic_score
SVR-RBF,0.48827936659110704,4.016449833412278e-15,Accessibility,semantic_score
Linear,0.3579993214273034,2.4938887227991252e-08,Accessibility,semantic_score
SVR-RBF,0.476776609721338,2.1238834691715974e-14,Accessibility,semantic_score
Linear,0.3515579402319985,4.592185227493502e-08,Accessibility,semantic_score
SVR-RBF,0.434366773826948,5.907892393500887e-12,Accessibility,semantic_score
Linear,0.22430988855471926,0.0006272999666897258,Accessibility,semantic_score
SVR-RBF,0.49437656941904234,1.6192497960897063e-15,Accessibility,semantic_score
Linear,0.3123684569447002,1.3451013196253713e-06,Accessibility,semantic_score
SVR-RBF,0.40424634966738004,1.8741655428164577e-10,Accessibility,semantic_score
Linear,0.1869037628233417,0.004540563878652788,Accessibility,semantic_score
SVR-RBF,0.4435468255691132,1.864809840225872e-12,Accessibility,semantic_score
Linear,0.3162705570952196,1.0298577608921656e-06,Accessibility,semantic_score
SVR-RBF,0.4181610165486319,4.164290133684094e-11,Accessibility,semantic_score
