,feature,predictor,correlation,pvalue,bonferroni_corrected_max_pvalue,bonferroni_max_significant
0,semantic_score,Accessibility BEpro,-0.053253859536264374,3.742140218168879e-15,5.238996305436431e-14,*
1,relative_grammaticality,Accessibility BEpro,0.2431233568233103,1.976905929668449e-290,2.7676683015358286e-289,*
2,relative_sequence_grammaticality,Accessibility BEpro,0.24000916510079282,7.171210863225761e-283,1.0039695208516065e-281,*
3,relative_grammaticality_with_eve,Accessibility BEpro,0.6336560219866574,0.0,0.0,*
4,grammaticality,Accessibility BEpro,0.24491817486679524,7.750857477591925e-295,1.0851200468628695e-293,*
5,masked_grammaticality,Accessibility BEpro,0.22256844130542394,1.54642804535252e-242,2.164999263493528e-241,*
6,mutated_grammaticality,Accessibility BEpro,0.22130571496715726,9.526501493377865e-240,1.3337102090729012e-238,*
7,Evescape Fitness,Accessibility BEpro,0.4259664043897428,0.0,0.0,*
8,Evescape,Accessibility BEpro,0.6655769973353214,0.0,0.0,*
9,IND Mutability Score,Accessibility BEpro,0.28551989425040053,0.0,0.0,*
10,DCA Mutability Score,Accessibility BEpro,0.3237341581718996,0.0,0.0,*
11,semantic_score,PSSM DELTA-BLAST,-0.36892376515683567,0.0,0.0,*
12,relative_grammaticality,PSSM DELTA-BLAST,0.17473998672698862,1.515956609372966e-126,2.1223392531221527e-125,*
13,relative_sequence_grammaticality,PSSM DELTA-BLAST,0.25994835927091725,6.407943674671531e-283,8.971121144540143e-282,*
15,grammaticality,PSSM DELTA-BLAST,0.1900714790626849,8.779344073874712e-150,1.2291081703424597e-148,*
16,masked_grammaticality,PSSM DELTA-BLAST,0.2465045053887433,1.008401583200926e-253,1.4117622164812966e-252,*
17,mutated_grammaticality,PSSM DELTA-BLAST,0.2451701520719538,6.396355864858862e-251,8.954898210802407e-250,*
18,Evescape Fitness,PSSM DELTA-BLAST,0.17982483428103577,4.403659208036689e-130,6.165122891251365e-129,*
19,Evescape,PSSM DELTA-BLAST,0.022721926653738993,0.002353163512783102,0.03294428917896343,*
20,IND Mutability Score,PSSM DELTA-BLAST,0.0347243010262808,1.1313588518725196e-05,0.00015839023926215274,*
21,DCA Mutability Score,PSSM DELTA-BLAST,0.047347238558692786,2.124855006740953e-09,2.974797009437334e-08,*
22,semantic_score,ESST CRESCENDO,-0.34803316259087724,0.0,0.0,*
23,relative_grammaticality,ESST CRESCENDO,0.3166862577705981,0.0,0.0,*
24,relative_sequence_grammaticality,ESST CRESCENDO,0.3500242465893191,0.0,0.0,*
25,relative_grammaticality_with_eve,ESST CRESCENDO,0.1315568698057728,4.3810312141851445e-72,6.133443699859202e-71,*
26,grammaticality,ESST CRESCENDO,0.3384141791208895,0.0,0.0,*
27,masked_grammaticality,ESST CRESCENDO,0.40396733189142336,0.0,0.0,*
28,mutated_grammaticality,ESST CRESCENDO,0.4107902614131955,0.0,0.0,*
29,Evescape Fitness,ESST CRESCENDO,0.2842462749104049,0.0,0.0,*
30,Evescape,ESST CRESCENDO,0.15757527422682588,5.808957415617571e-100,8.1325403818646e-99,*
31,IND Mutability Score,ESST CRESCENDO,0.10467128670440622,3.6106506930586807e-40,5.054910970282153e-39,*
32,DCA Mutability Score,ESST CRESCENDO,0.10927472977293096,1.2094470868908081e-43,1.6932259216471313e-42,*
33,semantic_score,Entropy Alignment,-0.06606235244513536,6.369966765815298e-11,8.917953472141418e-10,*
34,relative_grammaticality,Entropy Alignment,0.17344486683602067,8.024956932425842e-67,1.123493970539618e-65,*
35,relative_sequence_grammaticality,Entropy Alignment,0.16384252610654504,9.932758940286448e-60,1.3905862516401027e-58,*
36,relative_grammaticality_with_eve,Entropy Alignment,0.34884919390271457,1.7335873979178439e-277,2.4270223570849813e-276,*
37,grammaticality,Entropy Alignment,0.15609344480806522,2.585601246399539e-54,3.6198417449593543e-53,*
38,masked_grammaticality,Entropy Alignment,0.12062711638554989,5.557212955811675e-33,7.780098138136345e-32,*
39,mutated_grammaticality,Entropy Alignment,0.1133404021943781,2.731531231965548e-29,3.8241437247517674e-28,*
40,Evescape Fitness,Entropy Alignment,0.34175666388095055,3.1787817681209865e-247,4.450294475369381e-246,*
41,Evescape,Entropy Alignment,0.381146281328781,0.0,0.0,*
42,IND Mutability Score,Entropy Alignment,0.23643046951941132,3.142609626348342e-103,4.399653476887679e-102,*
43,DCA Mutability Score,Entropy Alignment,0.2844218960813673,1.8496129237666386e-150,2.589458093273294e-149,*
45,relative_grammaticality,Escape Dadonaite et al. (2023),0.07256373269540826,6.789601662069285e-08,9.505442326896998e-07,*
46,relative_sequence_grammaticality,Escape Dadonaite et al. (2023),0.045410512683215554,0.0007394392042408081,0.010352148859371314,*
47,relative_grammaticality_with_eve,Escape Dadonaite et al. (2023),0.10231209481753169,2.5556703829702636e-14,3.577938536158369e-13,*
48,grammaticality,Escape Dadonaite et al. (2023),0.07042437367420915,1.630815699991505e-07,2.2831419799881073e-06,*
49,masked_grammaticality,Escape Dadonaite et al. (2023),0.05747114313870578,1.9364625972262807e-05,0.0002711047636116793,*
50,mutated_grammaticality,Escape Dadonaite et al. (2023),0.056713325364859755,2.490376188178507e-05,0.000348652666344991,*
51,Evescape Fitness,Escape Dadonaite et al. (2023),0.08089254670760909,5.6887036497046745e-09,7.964185109586545e-08,*
52,Evescape,Escape Dadonaite et al. (2023),0.10478231944400225,4.2024007131005624e-14,5.883360998340788e-13,*
53,IND Mutability Score,Escape Dadonaite et al. (2023),0.07239452057044365,7.171158187132408e-07,1.0039621461985371e-05,*
54,DCA Mutability Score,Escape Dadonaite et al. (2023),0.06915516014565458,2.1977528441741063e-06,3.076853981843749e-05,*
55,semantic_score,RBD Escape Yisimayi et al. (2024),0.06358099854040626,0.0001328524420377885,0.0018599341885290389,*
58,relative_grammaticality_with_eve,RBD Escape Yisimayi et al. (2024),0.2039468277686828,3.580748476665539e-35,5.013047867331754e-34,*
60,masked_grammaticality,RBD Escape Yisimayi et al. (2024),-0.07611533558233599,4.730154000514365e-06,6.622215600720111e-05,*
61,mutated_grammaticality,RBD Escape Yisimayi et al. (2024),-0.08520964446891645,2.9738622215894515e-07,4.163407110225232e-06,*
62,Evescape Fitness,RBD Escape Yisimayi et al. (2024),0.1105811365842969,4.690051463580927e-11,6.566072049013298e-10,*
63,Evescape,RBD Escape Yisimayi et al. (2024),0.18831262920479183,1.7897382796035152e-29,2.5056335914449213e-28,*
64,IND Mutability Score,RBD Escape Yisimayi et al. (2024),0.11650692095043066,2.9361213512330835e-11,4.110569891726317e-10,*
65,DCA Mutability Score,RBD Escape Yisimayi et al. (2024),0.21518252292230186,3.140851700503259e-35,4.397192380704563e-34,*
66,semantic_score,Entry Dadonaite et al. (2023),-0.15412883657784238,2.969419060031129e-45,4.157186684043581e-44,*
67,relative_grammaticality,Entry Dadonaite et al. (2023),0.16702108545237487,6.127156453246622e-53,8.57801903454527e-52,*
68,relative_sequence_grammaticality,Entry Dadonaite et al. (2023),0.1904470901110557,1.4333827961463658e-68,2.006735914604912e-67,*
69,relative_grammaticality_with_eve,Entry Dadonaite et al. (2023),0.30321686110677026,6.98634333800939e-176,9.780880673213145e-175,*
70,grammaticality,Entry Dadonaite et al. (2023),0.1677205457982282,2.2481607940853104e-53,3.1474251117194346e-52,*
71,masked_grammaticality,Entry Dadonaite et al. (2023),0.17726058981013804,1.6658131567271372e-59,2.332138419417992e-58,*
72,mutated_grammaticality,Entry Dadonaite et al. (2023),0.16987595140856954,9.954420414266243e-55,1.393618857997274e-53,*
73,Evescape Fitness,Entry Dadonaite et al. (2023),0.41687113264697334,0.0,0.0,*
74,Evescape,Entry Dadonaite et al. (2023),0.3934296994213519,1.8754046143806063e-287,2.6255664601328487e-286,*
75,IND Mutability Score,Entry Dadonaite et al. (2023),0.26848426219168003,6.27710806440245e-116,8.787951290163429e-115,*
76,DCA Mutability Score,Entry Dadonaite et al. (2023),0.3409711614226715,3.3569970911614733e-190,4.699795927626062e-189,*
77,semantic_score,Binding Dadonaite et al. (2023),0.051534315619770184,8.682615345851972e-06,0.0001215566148419276,*
78,relative_grammaticality,Binding Dadonaite et al. (2023),-0.13790066502146908,6.444522670908969e-33,9.022331739272556e-32,*
79,relative_sequence_grammaticality,Binding Dadonaite et al. (2023),-0.1107994192765278,9.190891874203434e-22,1.2867248623884808e-20,*
80,relative_grammaticality_with_eve,Binding Dadonaite et al. (2023),-0.24226553047415172,7.502062753499706e-100,1.0502887854899588e-98,*
81,grammaticality,Binding Dadonaite et al. (2023),-0.1347714266003584,1.6727937063086371e-31,2.341911188832092e-30,*
82,masked_grammaticality,Binding Dadonaite et al. (2023),-0.11419917996486444,5.0003480287148767e-23,7.000487240200827e-22,*
83,mutated_grammaticality,Binding Dadonaite et al. (2023),-0.10580057273257068,5.659391957063435e-20,7.923148739888809e-19,*
84,Evescape Fitness,Binding Dadonaite et al. (2023),-0.229325256535529,4.753354918227953e-84,6.654696885519133e-83,*
85,Evescape,Binding Dadonaite et al. (2023),-0.26794450235926937,3.536264808262004e-115,4.950770731566806e-114,*
86,IND Mutability Score,Binding Dadonaite et al. (2023),-0.1316804616658334,9.305790160130988e-26,1.3028106224183384e-24,*
87,DCA Mutability Score,Binding Dadonaite et al. (2023),-0.17596062813091867,5.785869454631802e-45,8.100217236484523e-44,*
88,semantic_score,RBD Wuhan-Hu-1 Binding Starr et al. (2022),-0.1901774423421248,8.207144128879037e-15,1.149000178043065e-13,*
91,relative_grammaticality_with_eve,RBD Wuhan-Hu-1 Binding Starr et al. (2022),-0.08051496264503036,0.0011046379452111853,0.015464931232956593,*
95,Evescape Fitness,RBD Wuhan-Hu-1 Binding Starr et al. (2022),0.11814879569218985,2.944532037577256e-06,4.1223448526081586e-05,*
99,semantic_score,RBD Variant Average Binding Starr et al. (2022),-0.18023922658257743,1.7117632993491335e-13,2.396468619088787e-12,*
102,relative_grammaticality_with_eve,RBD Variant Average Binding Starr et al. (2022),-0.09527966133871885,0.00010766484297555644,0.0015073078016577901,*
106,Evescape Fitness,RBD Variant Average Binding Starr et al. (2022),0.10388983239604904,3.847777514435065e-05,0.0005386888520209091,*
110,semantic_score,RBD Wuhan-Hu-1 Expression Starr et al. (2022),-0.21437872603883834,2.451496990948158e-18,3.432095787327421e-17,*
113,relative_grammaticality_with_eve,RBD Wuhan-Hu-1 Expression Starr et al. (2022),0.17785573871812238,5.217876939652254e-13,7.305027715513156e-12,*
117,Evescape Fitness,RBD Wuhan-Hu-1 Expression Starr et al. (2022),0.41048318009594364,9.745439012709642e-64,1.3643614617793499e-62,*
118,Evescape,RBD Wuhan-Hu-1 Expression Starr et al. (2022),0.3554158307506134,3.9503110373386194e-47,5.530435452274067e-46,*
119,IND Mutability Score,RBD Wuhan-Hu-1 Expression Starr et al. (2022),0.21356036042585072,4.656276487909919e-16,6.518787083073887e-15,*
120,DCA Mutability Score,RBD Wuhan-Hu-1 Expression Starr et al. (2022),0.39298336571984466,1.8187446620309434e-53,2.5462425268433208e-52,*
121,semantic_score,RBD Variant Average Expression Starr et al. (2022),-0.2169550126022229,5.371625006706059e-19,7.520275009388483e-18,*
124,relative_grammaticality_with_eve,RBD Variant Average Expression Starr et al. (2022),0.1497378239071682,1.017172345397858e-09,1.4240412835570013e-08,*
128,Evescape Fitness,RBD Variant Average Expression Starr et al. (2022),0.3991787654786464,6.752144218118211e-61,9.453001905365495e-60,*
129,Evescape,RBD Variant Average Expression Starr et al. (2022),0.3299279107154854,4.954808684216902e-41,6.9367321579036624e-40,*
130,IND Mutability Score,RBD Variant Average Expression Starr et al. (2022),0.19714663411226202,4.758240933029202e-14,6.661537306240883e-13,*
131,DCA Mutability Score,RBD Variant Average Expression Starr et al. (2022),0.37838438807477975,4.2424299043232907e-50,5.939401866052607e-49,*
132,semantic_score,ΔΔG FoldX,0.10637199257135319,1.2879367202579595e-47,1.8031114083611434e-46,*
133,relative_grammaticality,ΔΔG FoldX,-0.0894857659400123,3.7606483956529716e-34,5.2649077539141605e-33,*
134,relative_sequence_grammaticality,ΔΔG FoldX,-0.1437898780966816,6.843393228827908e-86,9.58075052035907e-85,*
135,relative_grammaticality_with_eve,ΔΔG FoldX,-0.19670187957690793,1.761517904379749e-160,2.4661250661316486e-159,*
136,grammaticality,ΔΔG FoldX,-0.08823037311477824,3.0412152030358773e-33,4.2577012842502283e-32,*
137,masked_grammaticality,ΔΔG FoldX,-0.09431360620729425,9.20979838271361e-38,1.2893717735799054e-36,*
138,mutated_grammaticality,ΔΔG FoldX,-0.09791632132506538,1.3971345110684906e-40,1.955988315495887e-39,*
139,Evescape Fitness,ΔΔG FoldX,-0.29816669879856683,0.0,0.0,*
140,Evescape,ΔΔG FoldX,-0.27280959466470867,2.95731598551137e-303,4.140242379715918e-302,*
141,IND Mutability Score,ΔΔG FoldX,-0.21695166481219436,1.582195046564365e-169,2.215073065190111e-168,*
142,DCA Mutability Score,ΔΔG FoldX,-0.23580536147670716,8.81843622412441e-201,1.2345810713774173e-199,*
143,semantic_score,B-Factor PDB:6VXX,-0.04675157972318494,2.0647513180487469e-10,2.8906518452682456e-09,*
144,relative_grammaticality,B-Factor PDB:6VXX,0.5584645926776246,0.0,0.0,*
145,relative_sequence_grammaticality,B-Factor PDB:6VXX,0.4538390045759894,0.0,0.0,*
146,relative_grammaticality_with_eve,B-Factor PDB:6VXX,0.6219988094255906,0.0,0.0,*
147,grammaticality,B-Factor PDB:6VXX,0.5614007863162257,0.0,0.0,*
148,masked_grammaticality,B-Factor PDB:6VXX,0.5036250978684917,0.0,0.0,*
149,mutated_grammaticality,B-Factor PDB:6VXX,0.48872085656338227,0.0,0.0,*
150,Evescape Fitness,B-Factor PDB:6VXX,0.3600847149622781,0.0,0.0,*
151,Evescape,B-Factor PDB:6VXX,0.51216535308898,0.0,0.0,*
153,DCA Mutability Score,B-Factor PDB:6VXX,-0.057228376749781734,4.503555402873601e-13,6.304977564023042e-12,*
