File,Total Sequences,Assigned Lineages (Counts)
H3N2_G.1_hard_nextle1_max5.fasta,10,"G.1 (6), G.1.1 (2), G.3 (1), G (1)"
H3N2_G.1_hard_nextle2_max5.fasta,229,"G (106), G.1 (86), G.1.1 (36), G.3 (1)"
H3N2_J.2.4_hard_nextle1_max5.fasta,872,"J.2.4 (855), J.2 (17)"
H3N2_J.2.4_hard_nextle2_max5.fasta,877,"J.2.4 (860), J.2 (17)"
H3N2_J.2_int_hard_nextle1_max5.fasta,27452,"J.2 (21017), J.2.2 (3746), J.2.5 (1330), J.2.1 (1241), J.2.4 (100), Unassigned (15), J (3)"
H3N2_J.2_int_hard_nextle2_max5.fasta,27452,"J.2 (21017), J.2.2 (3746), J.2.5 (1330), J.2.1 (1241), J.2.4 (100), Unassigned (15), J (3)"
H3N2_J_int_hard_nextle1_max5.fasta,4132,"J (2341), J.1 (1266), J.1.1 (155), J.4 (132), J.2 (123), J.3 (86), J.2.2 (9), G.1.3.1 (7), J.2.4 (5), J.2.5 (4), J.2.1 (3), Unassigned (1)"
H3N2_J_int_hard_nextle2_max5.fasta,4132,"J (2341), J.1 (1266), J.1.1 (155), J.4 (132), J.2 (123), J.3 (86), J.2.2 (9), G.1.3.1 (7), J.2.4 (5), J.2.5 (4), J.2.1 (3), Unassigned (1)"
H3N2_K_hard_nextle1_max5.fasta,0,
H3N2_K_hard_nextle2_max5.fasta,17898,"K (17893), Unassigned (5)"
