File,Total,G,G.1,G.1.1,G.1.3.1,G.3,J,J.1,J.1.1,J.2,J.2.1,J.2.2,J.2.4,J.2.5,J.3,J.4,K,Unassigned
H3N2_G.1_hard_nextle1_max5.fasta,10,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H3N2_G.1_hard_nextle2_max5.fasta,229,106,86,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H3N2_J.2.4_hard_nextle1_max5.fasta,872,0,0,0,0,0,0,0,0,17,0,0,855,0,0,0,0,0
H3N2_J.2.4_hard_nextle2_max5.fasta,877,0,0,0,0,0,0,0,0,17,0,0,860,0,0,0,0,0
H3N2_J.2_int_hard_nextle1_max5.fasta,27452,0,0,0,0,0,3,0,0,21017,1241,3746,100,1330,0,0,0,15
H3N2_J.2_int_hard_nextle2_max5.fasta,27452,0,0,0,0,0,3,0,0,21017,1241,3746,100,1330,0,0,0,15
H3N2_J_int_hard_nextle1_max5.fasta,4132,0,0,0,7,0,2341,1266,155,123,3,9,5,4,86,132,0,1
H3N2_J_int_hard_nextle2_max5.fasta,4132,0,0,0,7,0,2341,1266,155,123,3,9,5,4,86,132,0,1
H3N2_K_hard_nextle1_max5.fasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3N2_K_hard_nextle2_max5.fasta,17898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17893,5
